FY	Month	Machine	Available_Time	Breakdown_Time	Breakdown_Count	Uptime	MTTR	MTBF	Availability
2025-26	Apr-25	CX-1	34320	65	3	34255	21.67	11418.33	99.81
2025-26	Apr-25	CX-2	34320	525	9	33795	58.33	3755.00	98.47
2025-26	May-25	KBA-1	34320	750	17	33570	44.12	1974.71	97.81
2025-26	May-25	KBA-2	34320	364	6	33956	60.67	5659.33	98.94
2025-26	May-25	KBA-3	34320	215	4	34105	53.75	8526.25	99.37
2025-26	May-25	CX-2	34320	365	5	33955	73.00	6791.00	98.94
2025-26	Jun-25	KBA-1	34320	1430	24	32890	59.58	1370.42	95.83
2025-26	Jun-25	KBA-2	34320	774	13	33546	59.54	2580.46	97.74
2025-26	Jun-25	KBA-3	34320	465	6	33855	77.50	5642.50	98.65
2025-26	Jun-25	CX-1	34320	175	5	34145	35.00	6829.00	99.49
2025-26	Jun-25	CX-2	34320	942	11	33378	85.64	3034.36	97.26
2025-26	Jul-25	KBA-1	34320	703	15	33617	46.87	2241.13	97.95
2025-26	Jul-25	KBA-2	34320	954	12	33366	79.50	2780.50	97.22
2025-26	Jul-25	KBA-3	34320	390	11	33930	35.45	3084.55	98.86
2025-26	Jul-25	CX-1	34320	550	13	33770	42.31	2597.69	98.40
2025-26	Jul-25	CX-2	34320	235	5	34085	47.00	6817.00	99.32
2025-26	Aug-25	KBA-1	34320	317	7	34003	45.29	4857.57	99.08
2025-26	Aug-25	KBA-2	34320	265	6	34055	44.17	5675.83	99.23
2025-26	Aug-25	KBA-3	34320	478	8	33842	59.75	4230.25	98.61
2025-26	Aug-25	CX-1	34320	94	3	34226	31.33	11408.67	99.73
2025-26	Sep-25	KBA-1	34320	579	16	33741	36.19	2108.81	98.31
2025-26	Sep-25	KBA-2	34320	174	5	34146	34.80	6829.20	99.49
2025-26	Sep-25	KBA-3	34320	778	10	33542	77.80	3354.20	97.73
2025-26	Sep-25	CX-1	34320	1120	10	33200	112.00	3320.00	96.74
2025-26	Sep-25	CX-2	34320	330	7	33990	47.14	4855.71	99.04
2025-26	Oct-25	KBA-1	34320	827	16	33493	51.69	2093.31	97.59
2025-26	Oct-25	KBA-2	34320	833	10	33487	83.30	3348.70	97.57
2025-26	Oct-25	KBA-3	34320	60	2	34260	30.00	17130.00	99.83
2025-26	Oct-25	CX-1	34320	120	1	34200	120.00	34200.00	99.65
2025-26	Oct-25	CX-2	34320	95	4	34225	23.75	8556.25	99.72
2025-26	Nov-25	KBA-1	34320	629	6	33691	104.83	5615.17	98.17
2025-26	Nov-25	KBA-2	34320	355	7	33965	50.71	4852.14	98.97
2025-26	Nov-25	KBA-3	34320	775	11	33545	70.45	3049.55	97.74
2025-26	Nov-25	CX-1	34320	125	2	34195	62.50	17097.50	99.64
2025-26	Nov-25	CX-2	34320	145	5	34175	29.00	6835.00	99.58
2025-26	Dec-25	KBA-1	34320	515	7	33805	73.57	4829.29	98.50
2025-26	Dec-25	KBA-2	34320	675	5	33645	135.00	6729.00	98.03
2025-26	Dec-25	KBA-3	34320	560	6	33760	93.33	5626.67	98.37
2025-26	Dec-25	CX-1	34320	170	5	34150	34.00	6830.00	99.50
2025-26	Jan-26	KBA-1	34320	694	11	33626	63.09	3056.91	97.98
2025-26	Jan-26	KBA-2	34320	1288	13	33032	99.08	2540.92	96.25
2025-26	Jan-26	KBA-3	34320	315	7	34005	45.00	4857.86	99.08
2025-26	Jan-26	CX-1	34320	89	2	34231	44.50	17115.50	99.74
2025-26	Jan-26	CX-2	34320	30	1	34290	30.00	34290.00	99.91
2025-26	Feb-26	KBA-1	34320	575	11	33745	52.27	3067.73	98.32
2025-26	Feb-26	KBA-2	34320	390	5	33930	78.00	6786.00	98.86
2025-26	Feb-26	KBA-3	34320	266	7	34054	38.00	4864.86	99.22
2025-26	Feb-26	CX-1	34320	90	3	34230	30.00	11410.00	99.74
2025-26	Feb-26	CX-2	34320	60	1	34260	60.00	34260.00	99.83
2025-26	Mar-26	KBA-1	34320	205	4	34115	51.25	8528.75	99.40
2025-26	Mar-26	KBA-2	34320	264	8	34056	33.00	4257.00	99.23
2025-26	Mar-26	KBA-3	34320	230	8	34090	28.75	4261.25	99.33
2025-26	Mar-26	CX-2	34320	660	2	33660	330.00	16830.00	98.08
